曲名,収録CD,リリース年,タイアップ、備考,クレジット,タイプ
One Love : Reborn,Reborn Vol.1 | This is 嵐,2020,デジタルEP,"Written by youth case, Yusuke Kato, Andreas Carlsson, Erik Lidbom",アルバム
Love so sweet : Reborn,Love so sweet : Reborn | This is 嵐,2020,デジタルシングル,"Written by SPIN, youth case, Ellen Shipley / Produced by Afterhrs",シングル
Face Down : Reborn,Face Down : Reborn | This is 嵐,2020,デジタルシングル,"Written by eltvo, Albi Albertsson, Royce.H, Vincent Stein, Konstantin Scherer, Ellen Shipley / Produced by BloodPop, Tom Norris",シングル
IN THE SUMMER,IN THE SUMMER | This is 嵐,2020,デジタルシングル,"Written by Rami Yacoub, Gregory Hein, Funk Uchino / Produced by Rami Yacoub for MXM Productions",シングル
カイト,カイト | This is 嵐,2020,NHK2020ソング,作詞・作曲・編曲：米津玄師 / オーケストラ編曲：坂東祐大,シングル
Journey to Harmony,カイト,2020,天皇陛下御即位奉祝曲「Ray of Water」第3楽章,作詞：岡田惠和 / 作曲・編曲：菅野よう子,カップリング
Sounds of Joy,カイト,2020,,"作詞：Funk Uchino / 作曲：川口進, Andreas Ohrn, Henrik Smith, 佐原康太 / 編曲：石塚知生",カップリング
僕らの日々,カイト,2020,,作詞・作曲：Na-T / 編曲：佐々木博史,カップリング
Whenever You Call,Whenever You Call,2020,デジタルシングル,"Written by Bruno Mars, D'Mile / Produced by Bruno Mars, D'Mile",シングル
Party Starters,Party Starters | This is 嵐,2020,デジタルシングル / ソフトバンク5Gプロジェクト CMソング,"Written by Sam Hollander, Grant Michaels, Funk Uchino / Rap by Sho Sakurai / Produced by Sam Hollander, Grant Michaels",シングル
SHOW TIME,This is 嵐,2020,,"Written by AKIRA, Singo Kubota, Satoru Kurihara",アルバム
I Can't Wait For Christmas,This is 嵐,2020,,"Lyrics by miwaflower / Music by DWB, Mike Macdermid, Julie Morrison / Arranged by Hirofumi Sasaki",アルバム
いつか秒針のあう頃,This is 嵐,2020,,"Written by Rami Yacoub, Shiho Otowa / Rap by Sho Sakurai / Produced by Rami Yacoub for MXM Productions",アルバム
Do you...?,This is 嵐,2020,,"Lyrics by Atsushi Shimada, MiNE / Rap by Sho Sakurai / Music by Takuya Harada, MiNE, Atsushi Shimada / Arranged by Tomoki Ishizuka",アルバム
The Music Never Ends,This is 嵐,2020,,"Written by Julian Bunetta, John Ryan, Funk Uchino /  Produced by Julian Bunetta",アルバム
